name,address,postcode,area_name,area_code,long,lat
Megabet UK Limited,"Stan James, Unit C, Hale Top, Civic Centre, Wythenshawe, Manchester",M22 5RN,Manchester,E08000003,-2.261751,53.379276
Megabet UK Limited,"Stan James, 353 Claremont Road, Manchester",M14 7NB,Manchester,E08000003,-2.233066,53.45288
Sal Leisure Limited,"Sal Leisure Ltd, 39-41 Parker Street, Manchester",M1 4AJ,Manchester,E08000003,-2.237914,53.480193
Power Leisure Bookmakers Limited,"Paddy Power, 30 Hulme High Street, Manchester",M15 5JS,Manchester,E08000003,-2.248417,53.461784
Power Leisure Bookmakers Limited,"Paddy Power, 44, Unit F2 Ground Floor, City Tower,Piccadilly Plaza, Manchester",M1 4AJ,Manchester,E08000003,-2.237914,53.480193
Power Leisure Bookmakers Limited,"Paddy Power, 49 Old Church Street, Manchester",M40 2JN,Manchester,E08000003,-2.1804,53.501131
Power Leisure Bookmakers Limited,"Paddy Power, 551-553 Stockport Road, Manchester",M12 4JH,Manchester,E08000003,-2.200288,53.457101
Power Leisure Bookmakers Limited,"Paddy Power, 79 Wilmslow Road, Manchester",M14 5SU,Manchester,E08000003,-2.224872,53.455439
Power Leisure Bookmakers Limited,"Paddy Power, 958-960 Stockport Road, Manchester",M19 3NN,Manchester,E08000003,-2.191642,53.4433
Done Brothers (Cash Betting) Limited,"Betfred, De Quincy House, 86 Cross Street, Manchester",M2 4LA,Manchester,E08000003,-2.245301,53.48036
Done Brothers (Cash Betting) Limited,"Betfred, 10 Mosley Street, Manchester",M2 3AQ,Manchester,E08000003,-2.239246,53.481099
Done Brothers (Cash Betting) Limited,"Betfred, 1299-1301 Ashton Old Road, Manchester",M11 1JS,Manchester,E08000003,-2.162624,53.472987
Done Brothers (Cash Betting) Limited,"Betfred, 133 Deansgate, Manchester",M3 3WR,Manchester,E08000003,-2.248055,53.479788
Done Brothers (Cash Betting) Limited,"Betfred, 135-137 Chapman Street, Manchester",M18 8LY,Manchester,E08000003,-2.169882,53.464456
Done Brothers (Cash Betting) Limited,"Betfred, 14 Nicholas Street, Manchester",M1 4EJ,Manchester,E08000003,-2.240242,53.478321
Done Brothers (Cash Betting) Limited,"Betfred, 15 Hale Top, Manchester",M22 5RB,Manchester,E08000003,-2.263376,53.379515
Done Brothers (Cash Betting) Limited,"Betfred, 153 Moorcroft Road, Manchester",M23 0AE,Manchester,E08000003,-2.2934,53.408478
Done Brothers (Cash Betting) Limited,"Betfred, 16 The Birtles, Civic Centre, Wythenshawe, Manchester",M22 5RF,Manchester,E08000003,-2.261846,53.380103
Done Brothers (Cash Betting) Limited,"Betfred, 177 Dickenson Road, Manchester",M13 0YN,Manchester,E08000003,-2.210876,53.454234
Done Brothers (Cash Betting) Limited,"Betfred, 18 Fountain Street, Manchester",M2 2AA,Manchester,E08000003,-2.24005,53.481764
Done Brothers (Cash Betting) Limited,"Betfred, 292-294 Claremont Road, Manchester",M14 4EP,Manchester,E08000003,-2.23671,53.45306
Done Brothers (Cash Betting) Limited,"Betfred, 33 George Street, Manchester",M1 4HQ,Manchester,E08000003,-2.240602,53.478534
Done Brothers (Cash Betting) Limited,"Betfred, 334 Platt Lane, Manchester",M14 7DA,Manchester,E08000003,-2.238497,53.446863
Done Brothers (Cash Betting) Limited,"Betfred, 344 Palatine Road, Manchester",M22 4HE,Manchester,E08000003,-2.25715,53.408966
Done Brothers (Cash Betting) Limited,"Betfred, 487 Wilmslow Road, Manchester",M20 4AN,Manchester,E08000003,-2.227981,53.434122
Done Brothers (Cash Betting) Limited,"Betfred, 582a Hyde Road, Manchester",M18 7EE,Manchester,E08000003,-2.173586,53.460961
Done Brothers (Cash Betting) Limited,"Betfred, 586a and 586f Ashton New Road, Manchester",M11 4SG,Manchester,E08000003,-2.186804,53.483306
