Geography,Measure Type,Unit,Value
E01005826,count,households,39
E01005827,count,households,3
E01005828,count,households,49
E01005829,count,households,37
E01005768,count,households,4
E01005770,count,households,2
E01005771,count,households,2
E01005775,count,households,3
E01005761,count,households,31
E01005762,count,households,73
E01005763,count,households,52
E01005799,count,households,76
E01005798,count,households,10
E01005801,count,households,14
E01005802,count,households,6
E01005803,count,households,5
E01005830,count,households,13
E01005831,count,households,13
E01005767,count,households,3
E01005772,count,households,10
E01005773,count,households,7
E01005774,count,households,17
E01005776,count,households,6
E01005909,count,households,5
E01005910,count,households,21
E01005911,count,households,3
E01005912,count,households,4
E01005782,count,households,5
E01005783,count,households,10
E01005784,count,households,5
E01005785,count,households,3
E01005786,count,households,5
E01005834,count,households,19
E01005836,count,households,13
E01005838,count,households,23
E01005840,count,households,19
E01005927,count,households,7
E01005928,count,households,23
E01005929,count,households,4
E01005930,count,households,2
E01005806,count,households,3
E01005813,count,households,4
E01005814,count,households,0
E01005815,count,households,6
E01005777,count,households,17
E01005787,count,households,2
E01005788,count,households,5
E01005790,count,households,8
E01005805,count,households,1
E01005807,count,households,0
E01005839,count,households,5
E01005841,count,households,10
E01005844,count,households,5
E01005845,count,households,6
E01005849,count,households,1
E01005851,count,households,4
E01005808,count,households,7
E01005809,count,households,4
E01005810,count,households,9
E01005811,count,households,5
E01005812,count,households,3
E01005842,count,households,8
E01005906,count,households,2
E01005907,count,households,6
E01005913,count,households,6
E01005789,count,households,3
E01005791,count,households,6
E01005793,count,households,5
E01005795,count,households,3
E01005796,count,households,4
E01005846,count,households,4
E01005847,count,households,8
E01005848,count,households,6
E01005850,count,households,22
E01005792,count,households,1
E01005794,count,households,1
E01005923,count,households,1
E01005931,count,households,5
E01005924,count,households,4
E01005925,count,households,4
E01005926,count,households,4
E01005932,count,households,2
E01006053,count,households,11
E01006054,count,households,22
E01006055,count,households,9
E01006057,count,households,21
E01006058,count,households,21
E01006059,count,households,13
E01005938,count,households,20
E01005939,count,households,10
E01005940,count,households,8
E01005955,count,households,5
E01006056,count,households,41
E01006061,count,households,50
E01006062,count,households,8
E01006063,count,households,8
E01005936,count,households,10
E01005937,count,households,38
E01005945,count,households,55
E01005946,count,households,26
E01005947,count,households,44
E01005954,count,households,8
E01005956,count,households,2
E01005957,count,households,12
E01005958,count,households,37
E01005959,count,households,60
E01005933,count,households,57
E01005934,count,households,31
E01005935,count,households,51
E01005949,count,households,21
E01005960,count,households,37
E01005941,count,households,39
E01005942,count,households,9
E01005943,count,households,21
E01005944,count,households,5
E01006060,count,households,39
E01006064,count,households,35
E01006065,count,households,58
E01006066,count,households,29
E01006067,count,households,8
